i_e_op,V_cell_op
2.10E-05,1.505802897
2.11E-05,1.505812295
2.11E-05,1.505821693
2.11E-05,1.505831091
2.12E-05,1.50584049
2.12E-05,1.505849888
2.12E-05,1.505859286
2.12E-05,1.505868684
2.13E-05,1.505878082
2.13E-05,1.50588748
2.13E-05,1.505896878
2.14E-05,1.505906276
2.14E-05,1.505915675
2.14E-05,1.505925073
2.14E-05,1.505934471
2.15E-05,1.505943869
2.15E-05,1.505953267
2.15E-05,1.505962665
2.16E-05,1.505972063
2.16E-05,1.505981461
2.16E-05,1.50599086
2.16E-05,1.506000258
2.17E-05,1.506009656
2.17E-05,1.506019054
2.17E-05,1.506028452
2.18E-05,1.50603785
2.18E-05,1.506047249
2.18E-05,1.506056647
2.18E-05,1.506066045
2.19E-05,1.506075443
2.19E-05,1.506084841
2.19E-05,1.506094239
2.20E-05,1.506103637
2.20E-05,1.506113036
2.20E-05,1.506122434
2.20E-05,1.506131832
2.21E-05,1.50614123
2.21E-05,1.506150628
2.21E-05,1.506160026
2.22E-05,1.506169425
2.22E-05,1.506178823
2.22E-05,1.506188221
2.23E-05,1.506197619
2.23E-05,1.506207017
2.23E-05,1.506216416
2.23E-05,1.506225814
2.24E-05,1.506235212
2.24E-05,1.50624461
2.24E-05,1.506254008
2.25E-05,1.506263406
2.25E-05,1.506272805
2.25E-05,1.506282203
2.26E-05,1.506291601
2.26E-05,1.506300999
2.26E-05,1.506310397
2.26E-05,1.506319796
2.27E-05,1.506329194
2.27E-05,1.506338592
2.27E-05,1.50634799
2.28E-05,1.506357388
2.28E-05,1.506366787
2.28E-05,1.506376185
2.29E-05,1.506385583
2.29E-05,1.506394981
2.29E-05,1.506404379
2.30E-05,1.506413778
2.30E-05,1.506423176
2.30E-05,1.506432574
2.30E-05,1.506441972
2.31E-05,1.506451371
2.31E-05,1.506460769
2.31E-05,1.506470167
2.32E-05,1.506479565
2.32E-05,1.506488963
2.32E-05,1.506498362
2.33E-05,1.50650776
2.33E-05,1.506517158
2.33E-05,1.506526556
2.34E-05,1.506535955
2.34E-05,1.506545353
2.34E-05,1.506554751
2.34E-05,1.506564149
2.35E-05,1.506573548
2.35E-05,1.506582946
2.35E-05,1.506592344
2.36E-05,1.506601742
2.36E-05,1.506611141
2.36E-05,1.506620539
2.37E-05,1.506629937
2.37E-05,1.506639335
2.37E-05,1.506648734
2.38E-05,1.506658132
2.38E-05,1.50666753
2.38E-05,1.506676928
2.39E-05,1.506686327
2.39E-05,1.506695725
2.39E-05,1.506705123
2.40E-05,1.506714522
2.40E-05,1.50672392
2.40E-05,1.506733318
2.40E-05,1.506742716
2.41E-05,1.506752115
2.41E-05,1.506761513
2.41E-05,1.506770911
2.42E-05,1.506780309
2.42E-05,1.506789708
2.42E-05,1.506799106
2.43E-05,1.506808504
2.43E-05,1.506817903
2.43E-05,1.506827301
2.44E-05,1.506836699
2.44E-05,1.506846098
2.44E-05,1.506855496
2.45E-05,1.506864894
2.45E-05,1.506874292
2.45E-05,1.506883691
2.46E-05,1.506893089
2.46E-05,1.506902487
2.46E-05,1.506911886
2.47E-05,1.506921284
2.47E-05,1.506930682
2.47E-05,1.506940081
2.48E-05,1.506949479
2.48E-05,1.506958877
2.48E-05,1.506968276
2.49E-05,1.506977674
2.49E-05,1.506987072
2.49E-05,1.506996471
2.50E-05,1.507005869
2.50E-05,1.507015267
2.50E-05,1.507024666
2.51E-05,1.507034064
2.51E-05,1.507043462
2.51E-05,1.507052861
2.52E-05,1.507062259
2.52E-05,1.507071657
2.52E-05,1.507081056
2.53E-05,1.507090454
2.53E-05,1.507099852
2.53E-05,1.507109251
2.54E-05,1.507118649
2.54E-05,1.507128047
2.54E-05,1.507137446
2.55E-05,1.507146844
2.55E-05,1.507156242
2.55E-05,1.507165641
2.56E-05,1.507175039
2.56E-05,1.507184437
2.56E-05,1.507193836
2.57E-05,1.507203234
2.57E-05,1.507212633
2.57E-05,1.507222031
2.58E-05,1.507231429
2.58E-05,1.507240828
2.58E-05,1.507250226
2.59E-05,1.507259624
2.59E-05,1.507269023
2.60E-05,1.507278421
2.60E-05,1.50728782
2.60E-05,1.507297218
2.61E-05,1.507306616
2.61E-05,1.507316015
2.61E-05,1.507325413
2.62E-05,1.507334812
2.62E-05,1.50734421
2.62E-05,1.507353608
2.63E-05,1.507363007
2.63E-05,1.507372405
2.63E-05,1.507381804
2.64E-05,1.507391202
2.64E-05,1.5074006
2.64E-05,1.507409999
2.65E-05,1.507419397
2.65E-05,1.507428796
2.65E-05,1.507438194
2.66E-05,1.507447592
2.66E-05,1.507456991
2.67E-05,1.507466389
2.67E-05,1.507475788
2.67E-05,1.507485186
2.68E-05,1.507494585
2.68E-05,1.507503983
2.68E-05,1.507513381
2.69E-05,1.50752278
2.69E-05,1.507532178
2.69E-05,1.507541577
2.70E-05,1.507550975
2.70E-05,1.507560374
2.70E-05,1.507569772
2.71E-05,1.50757917
2.71E-05,1.507588569
2.72E-05,1.507597967
2.72E-05,1.507607366
2.72E-05,1.507616764
2.73E-05,1.507626163
2.73E-05,1.507635561
2.73E-05,1.50764496
2.74E-05,1.507654358
2.74E-05,1.507663757
2.74E-05,1.507673155
2.75E-05,1.507682554
2.75E-05,1.507691952
2.76E-05,1.50770135
2.76E-05,1.507710749
2.76E-05,1.507720147
2.77E-05,1.507729546
2.77E-05,1.507738944
2.77E-05,1.507748343
2.78E-05,1.507757741
2.78E-05,1.50776714
2.79E-05,1.507776538
2.79E-05,1.507785937
2.79E-05,1.507795335
2.80E-05,1.507804734
2.80E-05,1.507814132
2.80E-05,1.507823531
2.81E-05,1.507832929
2.81E-05,1.507842328
2.82E-05,1.507851726
2.82E-05,1.507861125
2.82E-05,1.507870523
2.83E-05,1.507879922
2.83E-05,1.50788932
2.83E-05,1.507898719
2.84E-05,1.507908117
2.84E-05,1.507917516
2.85E-05,1.507926914
2.85E-05,1.507936313
2.85E-05,1.507945711
2.86E-05,1.50795511
2.86E-05,1.507964509
2.86E-05,1.507973907
2.87E-05,1.507983306
2.87E-05,1.507992704
2.88E-05,1.508002103
2.88E-05,1.508011501
2.88E-05,1.5080209
2.89E-05,1.508030298
2.89E-05,1.508039697
2.90E-05,1.508049095
2.90E-05,1.508058494
2.90E-05,1.508067892
2.91E-05,1.508077291
2.91E-05,1.50808669
2.91E-05,1.508096088
2.92E-05,1.508105487
2.92E-05,1.508114885
2.93E-05,1.508124284
2.93E-05,1.508133682
2.93E-05,1.508143081
2.94E-05,1.50815248
