i_e_op,V_cell_op
2.63E-05,1.507376876
2.63E-05,1.507386281
2.64E-05,1.507395685
2.64E-05,1.507405089
2.64E-05,1.507414494
2.65E-05,1.507423898
2.65E-05,1.507433303
2.65E-05,1.507442707
2.66E-05,1.507452112
2.66E-05,1.507461516
2.67E-05,1.50747092
2.67E-05,1.507480325
2.67E-05,1.507489729
2.68E-05,1.507499134
2.68E-05,1.507508538
2.68E-05,1.507517943
2.69E-05,1.507527347
2.69E-05,1.507536752
2.69E-05,1.507546157
2.70E-05,1.507555561
2.70E-05,1.507564966
2.70E-05,1.50757437
2.71E-05,1.507583775
2.71E-05,1.507593179
2.72E-05,1.507602584
2.72E-05,1.507611989
2.72E-05,1.507621393
2.73E-05,1.507630798
2.73E-05,1.507640203
2.73E-05,1.507649607
2.74E-05,1.507659012
2.74E-05,1.507668417
2.74E-05,1.507677821
2.75E-05,1.507687226
2.75E-05,1.507696631
2.76E-05,1.507706035
2.76E-05,1.50771544
2.76E-05,1.507724845
2.77E-05,1.50773425
2.77E-05,1.507743654
2.77E-05,1.507753059
2.78E-05,1.507762464
2.78E-05,1.507771869
2.79E-05,1.507781274
2.79E-05,1.507790678
2.79E-05,1.507800083
2.80E-05,1.507809488
2.80E-05,1.507818893
2.80E-05,1.507828298
2.81E-05,1.507837703
2.81E-05,1.507847108
2.82E-05,1.507856513
2.82E-05,1.507865917
2.82E-05,1.507875322
2.83E-05,1.507884727
2.83E-05,1.507894132
2.83E-05,1.507903537
2.84E-05,1.507912942
2.84E-05,1.507922347
2.85E-05,1.507931752
2.85E-05,1.507941157
2.85E-05,1.507950562
2.86E-05,1.507959967
2.86E-05,1.507969372
2.86E-05,1.507978777
2.87E-05,1.507988182
2.87E-05,1.507997587
2.88E-05,1.508006992
2.88E-05,1.508016397
2.88E-05,1.508025802
2.89E-05,1.508035208
2.89E-05,1.508044613
2.90E-05,1.508054018
2.90E-05,1.508063423
2.90E-05,1.508072828
2.91E-05,1.508082233
2.91E-05,1.508091638
2.91E-05,1.508101044
2.92E-05,1.508110449
2.92E-05,1.508119854
2.93E-05,1.508129259
2.93E-05,1.508138664
2.93E-05,1.50814807
2.94E-05,1.508157475
2.94E-05,1.50816688
2.95E-05,1.508176285
2.95E-05,1.508185691
2.95E-05,1.508195096
2.96E-05,1.508204501
2.96E-05,1.508213906
2.97E-05,1.508223312
2.97E-05,1.508232717
2.97E-05,1.508242122
2.98E-05,1.508251528
2.98E-05,1.508260933
2.99E-05,1.508270339
2.99E-05,1.508279744
2.99E-05,1.508289149
3.00E-05,1.508298555
3.00E-05,1.50830796
3.01E-05,1.508317366
3.01E-05,1.508326771
3.01E-05,1.508336177
3.02E-05,1.508345582
3.02E-05,1.508354987
3.03E-05,1.508364393
3.03E-05,1.508373798
3.03E-05,1.508383204
3.04E-05,1.508392609
3.04E-05,1.508402015
3.05E-05,1.508411421
3.05E-05,1.508420826
3.05E-05,1.508430232
3.06E-05,1.508439637
3.06E-05,1.508449043
3.07E-05,1.508458448
3.07E-05,1.508467854
3.07E-05,1.50847726
3.08E-05,1.508486665
3.08E-05,1.508496071
3.09E-05,1.508505477
3.09E-05,1.508514882
3.10E-05,1.508524288
3.10E-05,1.508533694
3.10E-05,1.508543099
3.11E-05,1.508552505
3.11E-05,1.508561911
3.12E-05,1.508571317
3.12E-05,1.508580722
3.12E-05,1.508590128
3.13E-05,1.508599534
3.13E-05,1.50860894
3.14E-05,1.508618346
3.14E-05,1.508627751
3.15E-05,1.508637157
3.15E-05,1.508646563
3.15E-05,1.508655969
3.16E-05,1.508665375
3.16E-05,1.508674781
3.17E-05,1.508684186
3.17E-05,1.508693592
3.18E-05,1.508702998
3.18E-05,1.508712404
3.18E-05,1.50872181
3.19E-05,1.508731216
3.19E-05,1.508740622
3.20E-05,1.508750028
3.20E-05,1.508759434
3.20E-05,1.50876884
3.21E-05,1.508778246
3.21E-05,1.508787652
3.22E-05,1.508797058
3.22E-05,1.508806464
3.23E-05,1.50881587
3.23E-05,1.508825276
3.23E-05,1.508834682
3.24E-05,1.508844088
3.24E-05,1.508853494
3.25E-05,1.508862901
3.25E-05,1.508872307
3.26E-05,1.508881713
3.26E-05,1.508891119
3.27E-05,1.508900525
3.27E-05,1.508909931
3.27E-05,1.508919338
3.28E-05,1.508928744
3.28E-05,1.50893815
3.29E-05,1.508947556
3.29E-05,1.508956962
3.30E-05,1.508966369
3.30E-05,1.508975775
3.30E-05,1.508985181
3.31E-05,1.508994588
3.31E-05,1.509003994
3.32E-05,1.5090134
3.32E-05,1.509022806
3.33E-05,1.509032213
3.33E-05,1.509041619
3.34E-05,1.509051026
3.34E-05,1.509060432
3.34E-05,1.509069838
3.35E-05,1.509079245
3.35E-05,1.509088651
3.36E-05,1.509098058
3.36E-05,1.509107464
3.37E-05,1.50911687
3.37E-05,1.509126277
3.38E-05,1.509135683
3.38E-05,1.50914509
3.39E-05,1.509154496
3.39E-05,1.509163903
3.39E-05,1.509173309
3.40E-05,1.509182716
3.40E-05,1.509192122
3.41E-05,1.509201529
3.41E-05,1.509210936
3.42E-05,1.509220342
3.42E-05,1.509229749
3.43E-05,1.509239155
3.43E-05,1.509248562
3.44E-05,1.509257969
3.44E-05,1.509267375
3.44E-05,1.509276782
3.45E-05,1.509286189
3.45E-05,1.509295595
3.46E-05,1.509305002
3.46E-05,1.509314409
3.47E-05,1.509323816
3.47E-05,1.509333222
3.48E-05,1.509342629
3.48E-05,1.509352036
3.49E-05,1.509361443
3.49E-05,1.50937085
3.50E-05,1.509380256
3.50E-05,1.509389663
3.50E-05,1.50939907
3.51E-05,1.509408477
3.51E-05,1.509417884
3.52E-05,1.509427291
3.52E-05,1.509436697
3.53E-05,1.509446104
3.53E-05,1.509455511
3.54E-05,1.509464918
3.54E-05,1.509474325
3.55E-05,1.509483732
3.55E-05,1.509493139
3.56E-05,1.509502546
3.56E-05,1.509511953
3.57E-05,1.50952136
3.57E-05,1.509530767
3.58E-05,1.509540174
